id,project_name,start_time,duration(s),cpu_power_consumption(kWh),ram_power_consumption(kWh),power_consumption(kWh),CO2_emissions(kg),CPU_name,OS,region/country
4d4a7e7a-2dc0-41e8-9dbb-02f82432a4e1,Default project name,2023-04-01 10:37:20,2.948773145675659,1.2509943235629815e-06,1.8472809540242e-08,1.2694671331032236e-06,7.941443628567829e-07,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,Windows,IN/Maharashtra
c823fe25-c3ea-4db8-aee9-eda6b7366c47,Default project name,2023-04-01 10:41:04,2.92146110534668,9.259725503089002e-07,1.71032356786327e-08,9.430757859875328e-07,5.899627486675789e-07,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,Windows,IN/Maharashtra
1546b80f-9ef2-4a99-9996-3a036f8ce7ce,Default project name,2023-04-01 10:47:38,1.9607353210449217,6.19814205562872e-07,1.1426160749958097e-08,6.312403663128301e-07,3.948869296754161e-07,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,Windows,IN/Maharashtra
68d14b62-e226-434a-b617-d40f582ec7c0,Default project name,2023-04-01 11:04:57,3.906341314315796,1.1101073430662588e-06,2.021647139675528e-08,1.130323814463014e-06,7.07100059585071e-07,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,Windows,IN/Maharashtra
9ee001e3-716f-441d-b163-08038dd13f4f,Default project name,2023-04-01 11:05:58,5.117915868759155,6.407777267801023e-07,2.678879712827136e-08,6.675665239083737e-07,4.17611593060933e-07,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,Windows,IN/Maharashtra
21458014-68bb-4520-a2a9-eb7f9b72390c,Default project name,2023-04-01 11:06:14,4.534682035446167,1.2178085893560545e-06,2.365676578790498e-08,1.2414653551439597e-06,7.766272066134721e-07,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,Windows,IN/Maharashtra
cdacea6b-379f-45e6-9e74-b33deba605f1,Default project name,2023-04-02 09:56:47,7.344176769256592,6.716882933050983e-07,4.0248415541839215e-08,7.119367088469374e-07,4.453683827635053e-07,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,Windows,IN/Maharashtra
8b2c29d7-72b1-485c-bf61-82d49144cb39,Default project name,2023-04-02 09:59:58,5.885820865631104,1.0684515883964006e-06,3.2844157346213864e-08,1.1012957457426144e-06,6.889408835514445e-07,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,Windows,IN/Maharashtra
55ec40f0-b559-47cb-b7cb-2b3c94ee3627,Default project name,2023-04-02 10:01:39,7.530493021011352,8.971961000739464e-07,3.496786154149352e-08,9.3216396161544e-07,5.831366059596556e-07,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,Windows,IN/Maharashtra
5a1b77ee-0e5e-4110-88e1-8c24a1e2d9c9,Default project name,2023-04-02 10:03:21,6.770552158355713,8.46624872974548e-07,3.39026180847668e-08,8.805274910593148e-07,5.508342241644487e-07,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,Windows,IN/Maharashtra
